listing_status,list_price,beds,baths,sqft_living,lot_sqft,year_built,city,zip_code,latitude,longitude,hoa_fee,days_on_market,price_per_sqft,listing_type,parking_garage,stories,house_age,baths_per_bed,total_rooms,sqft_per_bed,log_list_price,log_sqft_living,property_type_LAND,property_type_MOBILE,property_type_MULTI_FAMILY,property_type_SINGLE_FAMILY,property_type_TOWNHOMES
FOR_SALE,455000,1.0,1.0,1245.0,131.0,2004.0,Austin,78701,30.265377,-97.737817,1244.0,305.0,365.0,for_sale,1.0,1.0,22.0,1.0,2.0,1245.0,13.02805489573287,7.1276936993473985,0,0,0,0,0
FOR_SALE,474900,2.0,2.0,1169.0,301.0,1964.0,Austin,78701,30.28065,-97.740283,1435.0,31.0,406.0,for_sale,1.0,1.0,62.0,1.0,4.0,584.5,13.07086164024146,7.064759027791802,0,0,0,0,0
PENDING,2600000,3.0,3.0,3685.0,,2018.0,Austin,78701,30.258399,-97.739048,2903.0,184.0,706.0,for_sale,3.0,3.0,8.0,1.0,6.0,1228.3333333333333,14.77102238760702,8.212297138229768,0,0,0,0,0
FOR_SALE,549900,2.0,2.0,1150.0,12023.0,2017.0,Austin,78701,30.273187,-97.747333,621.0,240.0,478.0,for_sale,1.0,1.0,9.0,1.0,4.0,575.0,13.217493541006709,7.048386408721883,0,0,0,0,0
FOR_SALE,595000,2.0,2.0,793.0,,2022.0,Austin,78701,30.255883,-97.73894,669.0,53.0,750.0,for_sale,1.0,1.0,4.0,1.0,4.0,396.5,13.296318365198623,6.677083461247136,0,0,0,0,0
FOR_SALE,495000,2.0,1.0,995.0,619.0,1964.0,Austin,78701,30.270079,-97.747568,777.0,58.0,497.0,for_sale,,1.0,62.0,0.5,3.0,497.5,13.112315061750808,6.903747257584598,0,0,0,0,0
FOR_SALE,825000,2.0,2.0,1221.0,96.0,2019.0,Austin,78701,30.255947,-97.738936,1020.0,17.0,676.0,for_sale,2.0,1.0,7.0,1.0,4.0,610.5,13.623139877437296,7.108244139731541,0,0,0,0,0
FOR_SALE,2100000,2.0,2.0,3628.0,348.0,1964.0,Austin,78701,30.280646,-97.740399,4100.0,9.0,579.0,for_sale,4.0,1.0,62.0,1.0,4.0,1814.0,14.557448378884015,8.19671240721307,0,0,0,0,0
FOR_SALE,3622700,5.0,5.0,3216.0,,2024.0,Austin,78701,30.260347,-97.738564,2476.0,349.0,1126.0,for_sale,2.0,1.0,2.0,1.0,10.0,643.2,15.102730438180096,8.076204527239026,0,0,0,0,0
FOR_SALE,924900,1.0,1.0,1000.0,152.0,2018.0,Austin,78701,30.267758,-97.750937,749.0,74.0,925.0,for_sale,,1.0,8.0,1.0,2.0,1000.0,13.737441983739734,6.90875477931522,0,0,0,0,0
PENDING,1249900,2.0,2.0,1474.0,,2018.0,Austin,78701,30.267758,-97.750937,1044.0,116.0,848.0,for_sale,2.0,1.0,8.0,1.0,4.0,737.0,14.038574906141998,7.29641326877392,0,0,0,0,0
FOR_SALE,630000,1.0,1.0,1520.0,161.0,2004.0,Austin,78701,30.265377,-97.737817,1277.0,34.0,414.0,for_sale,2.0,1.0,22.0,1.0,2.0,1520.0,13.353476685668044,7.327123292259293,0,0,0,0,0
FOR_SALE,349000,1.0,1.0,756.0,192.0,2005.0,Austin,78701,30.257382,-97.739444,627.0,65.0,462.0,for_sale,1.0,1.0,21.0,1.0,2.0,756.0,12.762830066509972,6.6293632534374485,0,0,0,0,0
FOR_SALE,649500,3.0,2.0,1450.0,1529.0,1966.0,Austin,78701,30.273701,-97.749765,883.0,172.0,448.0,for_sale,,1.0,60.0,0.6666666666666666,5.0,483.3333333333333,13.383959654737488,7.280008252884188,0,0,0,0,0
FOR_SALE,500000,2.0,2.0,1459.0,1128.0,1983.0,Austin,78701,30.255205,-97.738057,0.0,65.0,343.0,for_sale,2.0,1.0,43.0,1.0,4.0,729.5,13.122365377402328,7.286191714702382,0,0,0,0,0
FOR_SALE,725000,2.0,2.0,1128.0,105.0,2018.0,Austin,78701,30.258399,-97.739048,1201.0,165.0,643.0,for_sale,1.0,1.0,8.0,1.0,4.0,564.0,13.493928313146206,7.029087564149662,0,0,0,0,0
FOR_SALE,1625000,3.0,3.0,1594.0,131.0,2019.0,Austin,78701,30.255802,-97.73912,1349.0,157.0,1019.0,for_sale,2.0,3.0,7.0,1.0,6.0,531.3333333333334,14.301018989130402,7.374629015218945,0,0,0,0,0
PENDING,2950000,2.0,2.0,1815.0,414.0,2010.0,Austin,78701,30.261884,-97.742441,1966.0,134.0,1625.0,for_sale,2.0,1.0,16.0,1.0,4.0,907.5,14.897316067298997,7.504391559161238,0,0,0,0,0
FOR_SALE,437500,1.0,1.0,621.0,,2024.0,Austin,78701,30.260347,-97.738564,478.0,279.0,705.0,for_sale,,1.0,2.0,1.0,2.0,621.0,12.988834270491479,6.432940092739179,0,0,0,0,0
FOR_SALE,1145000,2.0,2.0,1360.0,388.0,2014.0,Austin,78701,30.267402,-97.752016,1347.0,130.0,842.0,for_sale,2.0,1.0,12.0,1.0,4.0,680.0,13.95091606833254,7.215975002651466,0,0,0,0,0
FOR_SALE,1049000,2.0,2.0,1106.0,,2019.0,Austin,78701,30.267758,-97.750937,830.0,96.0,948.0,for_sale,2.0,1.0,7.0,1.0,4.0,553.0,13.863348840666827,7.009408932708637,0,0,0,0,0
FOR_SALE,650000,1.0,1.0,688.0,196.0,2014.0,Austin,78701,30.267402,-97.752016,683.0,30.0,945.0,for_sale,1.0,1.0,12.0,1.0,2.0,688.0,13.384729180332174,6.535241271013659,0,0,0,0,0
FOR_SALE,204999,1.0,1.0,573.0,253.0,1966.0,Austin,78701,30.280731,-97.741356,496.0,47.0,358.0,for_sale,1.0,1.0,60.0,1.0,2.0,573.0,12.230765258120545,6.352629396319567,0,0,0,0,0
FOR_SALE,1099999,1.0,1.0,1060.0,244.0,2010.0,Austin,78701,30.261884,-97.742441,1126.0,34.0,1038.0,for_sale,1.0,1.0,16.0,1.0,2.0,1060.0,13.9108207377686,6.966967138613983,0,0,0,0,0
